km_ruta,log_km,vel_max,vel_prom,t_est_min,hora_inicio,dia_semana_num,es_fin_semana,mes,n_paradas,densidad_paradas,ruta_Cibao-Norte,ruta_Cibao-Sur,ruta_Este-Turístico,ruta_La-Romana,ruta_Nordeste,ruta_Norte,ruta_Otras,ruta_SD-Centro,ruta_SD-Este,ruta_SD-Norte,ruta_SD-Oeste,ruta_Santiago,ruta_Sur,franja_horaria_NOCHE,franja_horaria_TARDE
18.359067,2.963160889,98,45.9,63,6,5,1,8,1,0.0545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24.866134,3.252934546,67,22.6,82,13,0,0,10,1,0.0402,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19.588301,3.024723002,73,43.5,38,5,5,1,8,1,0.0511,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.483438,2.138115792,65,24.9,26,15,5,1,6,1,0.1336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6.022193,1.949075562,63,22.6,24,12,1,0,10,1,0.1661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
201.031683,5.308424532,90,63.5,230,1,5,1,4,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169.877355,5.140946077,94,57.9,41,15,2,0,10,1,0.0059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
98.042239,4.595546416,97,53.5,87,15,3,0,1,1,0.0102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5.16795,1.81936653,69,34.5,27,7,5,1,3,1,0.1935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.349604,2.429182853,79,32.7,27,12,2,0,11,1,0.0966,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25.490613,3.276790444,52,24.7,55,18,6,1,5,1,0.0392,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24.846197,3.252163472,65,28.7,57,20,4,0,9,1,0.0402,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7.400135,2.128247777,64,27.8,23,19,5,1,4,1,0.1351,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.057275,2.643140055,67,22.4,28,19,4,0,1,1,0.0766,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21.49387,3.113242828,76,33.9,41,5,3,0,6,1,0.0465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208.558107,5.345001061,86,59.3,170,5,2,0,1,1,0.0048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129.685774,4.87279577,87,59.4,150,2,3,0,1,1,0.0077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.363881,2.430439992,88,36.6,27,12,2,0,2,1,0.0965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13.203905,2.653516927,67,17.2,92,16,4,0,7,1,0.0757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5.393669,1.855308282,37,20.2,55,21,4,0,2,1,0.1854,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8.105631,2.208893013,58,30.4,32,14,0,0,8,1,0.1234,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5.291348,1.839175356,69,26.5,19,12,5,1,1,1,0.189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
209.594449,5.349934241,97,62.9,137,7,0,0,2,1,0.0048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153.203862,5.038275506,97,48.6,112,7,4,0,10,1,0.0065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21.570796,3.116656858,83,39.2,47,7,5,1,7,1,0.0464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.12336,3.050379537,79,41.6,42,14,0,0,2,1,0.0497,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21.604186,3.11813511,91,41.8,57,7,3,0,6,1,0.0463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.371013,2.795512271,84,23.6,42,7,2,0,5,1,0.0651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151.770196,5.028934805,90,58.0,167,8,1,0,6,1,0.0066,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164.89462,5.111352767,90,44.0,133,6,5,1,2,1,0.0061,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.690437,2.039977609,61,25.1,27,10,4,0,9,1,0.1495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.48008,2.969392405,74,23.1,27,17,1,0,2,1,0.0541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
226.629828,5.427720748,122,66.7,296,3,1,0,12,1,0.0044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.297374,2.115939079,71,25.8,25,9,0,0,6,1,0.137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225.181532,5.421337916,107,63.1,169,4,4,0,6,1,0.0044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186.316363,5.232798968,102,74.0,128,5,4,0,8,1,0.0054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208.091571,5.342772295,102,61.8,134,7,1,0,3,1,0.0048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.237211,1.830533127,48,20.9,36,12,2,0,4,1,0.1909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
228.853691,5.43744298,92,64.5,222,1,5,1,7,1,0.0044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.513349,2.352645783,60,16.8,35,7,3,0,12,1,0.1051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9.296785,2.331831711,73,32.8,27,5,4,0,9,1,0.1076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78.480906,4.375516817,86,35.1,41,12,1,0,12,1,0.0127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17.648753,2.925779281,63,13.1,36,6,1,0,4,1,0.0567,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.087572,1.806249316,51,17.0,49,17,5,1,12,1,0.1966,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6.470333,2.010939576,55,25.9,26,8,3,0,8,1,0.1546,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59.239479,4.098327935,80,39.9,59,7,4,0,5,1,0.0169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.584145,3.117248111,82,41.8,27,5,3,0,1,1,0.0463,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.784312,2.378092486,65,24.5,50,11,4,0,8,1,0.1022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.028318,2.082975042,53,19.2,27,8,0,0,2,1,0.1423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.499711,2.251261377,74,21.2,50,18,3,0,8,1,0.1177,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9.354749,2.337445255,64,19.4,71,9,2,0,7,1,0.1069,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11.006326,2.485433678,72,25.4,28,20,2,0,1,1,0.0909,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
133.21192,4.899420043,94,61.0,168,10,2,0,2,1,0.0075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20.450295,3.065738398,83,39.6,301,11,0,0,12,1,0.0489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.955947,2.481228811,54,19.3,56,21,5,1,10,1,0.0913,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
223.340835,5.41316648,97,63.2,220,1,4,0,5,1,0.0045,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.063442,2.83693828,59,21.4,61,10,4,0,1,1,0.0623,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
205.51585,5.330377165,91,63.2,137,7,2,0,2,1,0.0049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45.937754,3.848822341,101,70.7,104,4,2,0,6,1,0.0218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
207.960774,5.34214655,122,70.9,148,1,3,0,10,1,0.0048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126.21853,4.845906316,85,59.2,78,3,3,0,9,1,0.0079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.536696,3.022213335,72,30.1,46,13,2,0,9,1,0.0512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11.953149,2.561338925,67,23.1,30,20,2,0,5,1,0.0837,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6.4716,2.011109166,47,20.4,37,10,0,0,4,1,0.1545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.875961,1.928031416,47,19.6,26,19,0,0,4,1,0.1702,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.206931,2.653729944,64,18.9,47,7,3,0,6,1,0.0757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.423909,2.798738139,57,23.7,30,20,1,0,6,1,0.0648,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
148.645677,5.008270346,90,57.9,141,2,4,0,1,1,0.0067,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.029866,2.08316784,48,19.2,27,8,4,0,2,1,0.1423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.546045,2.8061471,55,21.7,85,13,1,0,4,1,0.0643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
144.232548,4.978336237,107,61.8,40,18,1,0,8,1,0.0069,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31.373112,3.477328202,63,29.9,57,19,3,0,10,1,0.0319,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13.612099,2.681849884,75,24.0,100,15,2,0,9,1,0.0735,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77.449457,4.362454558,92,64.5,143,4,4,0,10,1,0.0129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183.363578,5.216909775,93,52.1,139,8,3,0,7,1,0.0055,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.304603,2.116809939,52,15.7,30,20,5,1,6,1,0.1369,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10.289002,2.423828977,59,30.9,49,11,3,0,7,1,0.0972,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17.583236,2.922259884,74,23.4,42,9,1,0,2,1,0.0569,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.208983,3.144539402,74,25.6,44,10,3,0,12,1,0.045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.408418,3.153095701,85,42.0,28,5,3,0,12,1,0.0446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.263844,2.848614372,54,16.8,51,13,4,0,3,1,0.0615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6.22369,1.977365903,73,28.7,20,15,2,0,7,1,0.1607,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9.213004,2.32366181,83,29.1,34,6,0,0,7,1,0.1085,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11.395509,2.51733423,56,28.5,21,13,1,0,8,1,0.0878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6.627268,2.031729721,91,26.5,27,22,2,0,10,1,0.1509,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14.701639,2.753765102,75,19.2,61,12,5,1,10,1,0.068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10.618707,2.452616472,57,22.8,28,8,4,0,6,1,0.0942,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47.934452,3.890481688,118,57.5,138,10,5,1,8,1,0.0209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112.473358,4.731568078,91,62.5,75,6,2,0,11,1,0.0089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11.911777,2.558139841,70,35.7,33,6,0,0,12,1,0.084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47.89409,3.88965653,83,46.3,137,9,4,0,11,1,0.0209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.392832,3.152429651,89,37.3,25,5,2,0,6,1,0.0447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43.236775,3.789556457,95,41.2,93,8,3,0,3,1,0.0231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169.191856,5.136926365,96,43.2,88,13,4,0,1,1,0.0059,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
83.313732,4.434544746,85,51.0,87,3,5,1,12,1,0.012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149.249834,5.012299469,98,68.4,142,2,5,1,10,1,0.0067,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72.718409,4.300252551,92,56.7,38,11,1,0,4,1,0.0138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
